ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
23-10117-0337,"CAP EL 330uF 25V 20% 105C SM 6.25mmD X 7.7mmH RoHS",TTI100,"UCV1V221MCL1GS",NIC500,"Nichicon",1,0.238000000000000000,0.427726,0.427726,,0,ELANSR,434.000000
23-10118-0157,"CAP ALUM 150UF 20% 25V RADIAL TH 10mmDx14mmH 5mmLS RoHS",DIG100,"860240475006",WUR500,"Wurth Electronics",1,0.468000000000000000,0.000000,0.369282,,0,ELANSR,1015.000000
23-10118-0687,"CAP EL 680UF 25V 20PCT 105C 10MMD 5MMLS 22MMH",DIG100,"P19711TB-ND",,,1,0.246000000000000000,0.245910,0.245910,,0,,40.000000
23-10119-0686,"CAP EL 68uF 450V 20% 105C RADIAL 18mmDx25mmH 7.5mmLS RoHS",DIG100,"1189-1365-ND",,,2,1.095000000000000000,1.095000,1.095000,,5,ELANSR,0.000000
23-10120-0105,"CAP EL 1UF 63V 20% 105C SMT 4mmD RoHS",DIG100,"865080740006",WUR500,"Wurth Electronics",3,0.122000000000000000,0.070970,0.152863,,120,ELANSR,2443.000000
23-10121-0108,"CAPEL1000uF/25V 20% 105C RAD 10mmD x 20mmH x 5mmLSRoHS",DIG100,"UHE1E102MHD6TO",NIC500,"Nichicon",1,0.309000000000000000,0.297119,0.297119,,0,ELANSR,823.000000
23-10122-0336,"CAP EL 400V 20% 85C RADIAL 18mmD x 22mm x 7.5mmLS RoHS",DIG100,"493-12318-3-ND",,,1,1.470000000000000000,1.470000,1.470000,,186,ELANSR,417.000000
23-10123-0106,"DO NOT USE - Replaced with 23-10036-0106",DIG100,"UWT1E100MCL1GB",NIN500,"Nichicon",4,0.077620000000000000,0.077620,0.077620,,126,ELANSR,0.000000
23-10124-0276,"CAP EL 27uF/400V 20% LL 105C 10mmD X 5mmLS x 33.5mmH RoHS",DIG100,"EKXL421ELL270MJ30S",CHE501,"Chemi-Con",9,0.557000000000000000,0.000000,0.524692,,0,ELANSR,110.000000
23-10124-0475,"CAP EL 4.7uF/400V 20% LL 105C RADIAL 10mmD X 5mmLS RoHS",DIG100,"400LLE4R7MEFC10X12.5",,,2,0.151000000000000000,0.140003,0.156859,,154,ELANSR,5229.000000
23-10125-0337,"CAP EL 330uF/35V 20% LL 105C RADIAL 10mmD X 5mmLS RoHS",DIG100,"35ZLH330MEFCT810X12.5",,,1,0.139000000000000000,0.117172,0.145215,,112,ELANSR,535.000000
23-10126-0227,"CAP EL SM 220UF 16V 20PCT LL 105C 6.6MMD 9MMH",DIG100,"UCW1C221MCL1GS",NIC500,"Nichicon",4,0.130000000000000000,0.041072,0.106686,,214,ELANSR,2799.000000
23-10127-0106,"CAP EL SM 10UF 35V 20PCT LL 105C 5MMD 7.25MMH LESR RoHS",DIG100,"493-9428-2-ND",,,2,0.105000000000000000,0.105000,0.107648,,214,ELANSR,4320.000000
23-10128-0475,"(BAD) CAP EL SMT 4.7uF 450V 20% LL 105C 12.5mmD 16.5mmH RoHS",DIG100,"493-6196-2-ND",,,2,1.870000000000000000,0.844973,0.844973,,0,ELANSR,2100.000000
23-10129-0337,"25 wks CAP EL SMT 330uF 35V 20% LL 105C 10mmD 10.5mmH RoHS",DIG100,"UCD1V331MNL1GS",,,2,0.248000000000000000,0.216688,0.228967,,280,ELANSR,3864.000000
23-10130-0475,"CAP EL SMT 4.7uF 400V 20PCT 105C 10mmD 14.5mmH RoHS 16wks!",MER100,"SREZ2G4R7MJ102",MER500,"Meritek 14 weeks",8,0.185000000000000000,0.074318,0.177294,,0,ELANSR,9108.000000
23-10131-1003,"CAP SUPER SMT 100mF 3.6V 85C 12.5mmD 8.5mmH RoHS",DIG100,"DVS-3R6D104T-R5",ELN500,"Elna America",1,2.140000000000000000,2.140000,2.140000,,0,ELANSR,0.000000
23-10131-2203,"CAP SUPER SMT 220mF 3.6V 85C 12.5mmD 8.5mmH RoHS",DIG100,"DVS-3R6D224T-R5",,,1,2.206000000000000000,2.206000,2.206000,,0,ELANSR,0.000000
